ID,Activity_Date,Activity_Type,Material_Code,Equipment_Name,Building,Room,Department,Vendor,Cost,Reference,Next_Due_Date,Remarks
AMC-0001,2026-01-04,Service,SRMAP-MM-000001,Oscilloscope,JC Bose Block,JC301,Civil Engineering,ABC Technologies,3250,AMC-REF-2026-001,2027-01-04,Demo service record linked to JC301 and Civil Engineering. Replace with actual AMC/service details.
AMC-0002,2026-02-07,Calibration,SRMAP-MM-000002,Digital Multimeter,JC Bose Block,JC301,Civil Engineering,ABC Technologies,4000,AMC-REF-2026-002,2027-02-07,Demo calibration record linked to JC301 and Civil Engineering. Replace with actual AMC/service details.
AMC-0003,2026-03-10,Repair,SRMAP-MM-000003,Function Generator,JC Bose Block,JC301,Civil Engineering,ABC Technologies,4750,AMC-REF-2026-003,2027-03-10,Demo repair record linked to JC301 and Civil Engineering. Replace with actual AMC/service details.
AMC-0004,2026-04-13,Inspection,SRMAP-MM-000004,Soldering Station,JC Bose Block,JC301,Civil Engineering,ABC Technologies,5500,AMC-REF-2026-004,2027-04-13,Demo inspection record linked to JC301 and Civil Engineering. Replace with actual AMC/service details.
AMC-0005,2026-05-16,Warranty Visit,SRMAP-MM-000005,Desktop Computer,JC Bose Block,JC302,Civil Engineering,ABC Technologies,6250,AMC-REF-2026-005,2027-05-16,Demo warranty visit record linked to JC302 and Civil Engineering. Replace with actual AMC/service details.
AMC-0006,2026-06-19,AMC,SRMAP-MM-000006,Projector,JC Bose Block,JC302,Civil Engineering,ABC Technologies,7000,AMC-REF-2026-006,2027-06-19,Demo amc record linked to JC302 and Civil Engineering. Replace with actual AMC/service details.
AMC-0007,2026-01-22,Service,SRMAP-MM-000007,Network Switch,JC Bose Block,JC302,Civil Engineering,ABC Technologies,7750,AMC-REF-2026-007,2027-01-22,Demo service record linked to JC302 and Civil Engineering. Replace with actual AMC/service details.
AMC-0008,2026-02-01,Calibration,SRMAP-MM-000008,3D Printer,JC Bose Block,JC303,Civil Engineering,ABC Technologies,8500,AMC-REF-2026-008,2027-02-01,Demo calibration record linked to JC303 and Civil Engineering. Replace with actual AMC/service details.
AMC-0009,2026-03-04,Repair,SRMAP-MM-000009,Soldering Station,JC Bose Block,JC303,Civil Engineering,ABC Technologies,9250,AMC-REF-2026-009,2027-03-04,Demo repair record linked to JC303 and Civil Engineering. Replace with actual AMC/service details.
AMC-0010,2026-04-07,Inspection,SRMAP-MM-000010,Digital Multimeter,JC Bose Block,JC303,Civil Engineering,ABC Technologies,10000,AMC-REF-2026-010,2027-04-07,Demo inspection record linked to JC303 and Civil Engineering. Replace with actual AMC/service details.
AMC-0011,2026-05-10,Warranty Visit,SRMAP-MM-000011,Power Supply,JC Bose Block,JC303,Civil Engineering,ABC Technologies,10750,AMC-REF-2026-011,2027-05-10,Demo warranty visit record linked to JC303 and Civil Engineering. Replace with actual AMC/service details.
AMC-0012,2026-06-13,AMC,SRMAP-MM-000012,Microscope,JC Bose Block,JC304,Civil Engineering,ABC Technologies,11500,AMC-REF-2026-012,2027-06-13,Demo amc record linked to JC304 and Civil Engineering. Replace with actual AMC/service details.
AMC-0013,2026-01-16,Service,SRMAP-MM-000013,Centrifuge,JC Bose Block,JC304,Civil Engineering,ABC Technologies,12250,AMC-REF-2026-013,2027-01-16,Demo service record linked to JC304 and Civil Engineering. Replace with actual AMC/service details.
AMC-0014,2026-02-19,Calibration,SRMAP-MM-000014,pH Meter,JC Bose Block,JC304,Civil Engineering,ABC Technologies,13000,AMC-REF-2026-014,2027-02-19,Demo calibration record linked to JC304 and Civil Engineering. Replace with actual AMC/service details.
AMC-0015,2026-03-22,Repair,SRMAP-MM-000015,Oscilloscope,JC Bose Block,JC305,Civil Engineering,ABC Technologies,13750,AMC-REF-2026-015,2027-03-22,Demo repair record linked to JC305 and Civil Engineering. Replace with actual AMC/service details.
AMC-0016,2026-04-01,Inspection,SRMAP-MM-000016,Logic Analyzer,JC Bose Block,JC305,Civil Engineering,ABC Technologies,14500,AMC-REF-2026-016,2027-04-01,Demo inspection record linked to JC305 and Civil Engineering. Replace with actual AMC/service details.
AMC-0017,2026-05-04,Warranty Visit,SRMAP-MM-000017,Function Generator,JC Bose Block,JC305,Civil Engineering,ABC Technologies,15250,AMC-REF-2026-017,2027-05-04,Demo warranty visit record linked to JC305 and Civil Engineering. Replace with actual AMC/service details.
AMC-0018,2026-06-07,AMC,SRMAP-MM-000018,Breadboard Set,JC Bose Block,JC305,Civil Engineering,ABC Technologies,16000,AMC-REF-2026-018,2027-06-07,Demo amc record linked to JC305 and Civil Engineering. Replace with actual AMC/service details.
AMC-0019,2026-01-10,Service,SRMAP-MM-000019,Desktop Computer,JC Bose Block,JC306,Civil Engineering,ABC Technologies,16750,AMC-REF-2026-019,2027-01-10,Demo service record linked to JC306 and Civil Engineering. Replace with actual AMC/service details.
AMC-0020,2026-02-13,Calibration,SRMAP-MM-000020,Projector,JC Bose Block,JC306,Civil Engineering,ABC Technologies,17500,AMC-REF-2026-020,2027-02-13,Demo calibration record linked to JC306 and Civil Engineering. Replace with actual AMC/service details.
AMC-0021,2026-03-16,Repair,SRMAP-MM-000021,Arduino Kit,JC Bose Block,JC306,Civil Engineering,ABC Technologies,18250,AMC-REF-2026-021,2027-03-16,Demo repair record linked to JC306 and Civil Engineering. Replace with actual AMC/service details.
AMC-0022,2026-04-19,Inspection,SRMAP-MM-000022,Raspberry Pi,JC Bose Block,JC306,Civil Engineering,ABC Technologies,19000,AMC-REF-2026-022,2027-04-19,Demo inspection record linked to JC306 and Civil Engineering. Replace with actual AMC/service details.
AMC-0023,2026-05-22,Warranty Visit,SRMAP-MM-000023,Spectrophotometer,JC Bose Block,JC307,Civil Engineering,ABC Technologies,19750,AMC-REF-2026-023,2027-05-22,Demo warranty visit record linked to JC307 and Civil Engineering. Replace with actual AMC/service details.
AMC-0024,2026-06-01,AMC,SRMAP-MM-000024,Hot Plate,JC Bose Block,JC307,Civil Engineering,ABC Technologies,20500,AMC-REF-2026-024,2027-06-01,Demo amc record linked to JC307 and Civil Engineering. Replace with actual AMC/service details.
